TEAM_ABBREVIATION,PLAYER_NAME,START_POSITION,GP,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
POR,Larry Nance Jr.,F,40,105.0,206.0,0.5097,19.0,66.0,0.2879,33.0,51.0,0.6471,0.56,1.45,4.03,5.47,1.9,1.02,0.33,0.75,1.73,6.55,-70.0
MEM,Xavier Sneed,,2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0
ORL,Hassani Gravett,G,11,23.0,46.0,0.5,14.0,29.0,0.4828,5.0,6.0,0.8333,0.65,0.09,2.18,2.27,1.91,0.64,0.09,0.91,1.27,5.91,-10.0
DEN,Vlatko Cancar,F,19,34.0,63.0,0.5397,13.0,25.0,0.52,11.0,14.0,0.7857,0.64,0.42,1.11,1.53,0.95,0.21,0.21,0.58,0.89,4.84,1.0
DEN,Petr Cornelie,,15,7.0,19.0,0.3684,2.0,9.0,0.2222,4.0,6.0,0.6667,0.42,0.6,0.6,1.2,0.27,0.07,0.13,0.33,0.6,1.33,2.0
DAL/DEN,Carlik Jones,,9,11.0,32.0,0.3438,1.0,4.0,0.25,6.0,6.0,1.0,0.36,0.22,1.22,1.44,1.44,0.78,0.11,1.0,0.22,3.22,-13.0
CHI/TOR,Daniel Oturu,,5,5.0,9.0,0.5556,0.0,1.0,0.0,3.0,5.0,0.6,0.56,0.8,1.0,1.8,0.0,0.0,0.6,0.2,0.2,2.6,-24.0
BOS,Jabari Parker,F,15,26.0,58.0,0.4483,11.0,22.0,0.5,11.0,11.0,1.0,0.54,0.33,1.8,2.13,0.67,0.53,0.13,0.67,1.33,4.93,-7.0
PHX,MJ Walker,,2,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.5,0.0,-3.0
SAC/PHX,Emanuel Terry,,4,1.0,6.0,0.1667,0.0,0.0,,0.0,0.0,,0.17,2.0,1.75,3.75,0.5,0.25,0.0,1.25,1.0,0.5,-22.0
OKC,Rob Edwards,,3,3.0,7.0,0.4286,3.0,7.0,0.4286,0.0,0.0,,0.64,0.0,1.0,1.0,0.0,0.0,0.0,0.33,0.0,3.0,-16.0
MIL,Javin DeLaurier,,5,2.0,6.0,0.3333,0.0,2.0,0.0,2.0,6.0,0.3333,0.33,0.8,1.2,2.0,0.0,0.6,0.0,0.4,1.8,1.2,5.0
DET,Derrick Walton Jr.,G,3,6.0,26.0,0.2308,3.0,13.0,0.2308,4.0,4.0,1.0,0.29,0.67,2.67,3.33,7.0,2.33,1.33,3.67,2.67,6.33,-3.0
DET,Jaysean Paige,,1,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,-10.0
DET,Deividas Sirvydis,,3,1.0,10.0,0.1,1.0,7.0,0.1429,0.0,0.0,,0.15,0.0,2.0,2.0,0.33,1.0,0.33,0.0,1.33,1.0,-28.0
MIL/TOR/WAS,Tremont Waters,G,8,13.0,28.0,0.4643,7.0,16.0,0.4375,0.0,0.0,,0.59,0.0,1.0,1.0,2.12,1.12,0.0,1.75,1.12,4.12,-25.0
LAC/DAL,George King,,7,4.0,12.0,0.3333,3.0,10.0,0.3,2.0,3.0,0.6667,0.46,0.0,1.14,1.14,0.29,0.0,0.0,0.29,0.86,1.86,-18.0
